


A.  .plot_1.curve_1.y_data (newton)
B.  .plot_1.curve_2.y_data (newton)
C.  .plot_1.curve_3.y_data (newton)
D.  .plot_1.curve_4.y_data (newton)

       A               B               C               D         
 7.919553E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 5.666066E-01    0.000000E+00    0.000000E+00    0.000000E+00   
 1.600646E-01    0.000000E+00    0.000000E+00    0.000000E+00   
 3.612624E-01    0.000000E+00    0.000000E+00    0.000000E+00   
 7.821078E-01    0.000000E+00    0.000000E+00    0.000000E+00   
 3.351098E-01    0.000000E+00    0.000000E+00    0.000000E+00   
 9.422468E-01    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    4.442798E-01    0.000000E+00    0.000000E+00   
 0.000000E+00    1.136629E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    7.040439E-01    0.000000E+00    0.000000E+00   
 0.000000E+00    1.265014E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    7.132918E-01    0.000000E+00    0.000000E+00   
 0.000000E+00    1.063870E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    8.749148E-01    0.000000E+00    0.000000E+00   
 0.000000E+00    1.531997E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.273929E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.655492E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.120945E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.392987E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.223550E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.856826E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.539282E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.967727E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.936278E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.514161E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    2.158351E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.595663E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    2.223789E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.669568E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    2.312731E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    2.241904E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.770523E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.813814E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    2.165326E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.884051E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    2.487802E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.937069E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    2.520135E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.984617E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    2.460332E+00    0.000000E+00    0.000000E+00   
 2.601236E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 6.505683E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 4.157805E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 5.787282E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.552892E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 5.668694E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 5.460556E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 4.120417E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.318402E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 5.132711E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.374094E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 4.917805E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 4.731786E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 4.540913E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 4.498513E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.113079E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.988158E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.033994E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 4.181568E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 2.923441E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 2.875653E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.841176E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.295517E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.624375E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 2.613901E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.494143E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.276849E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 2.713048E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    2.328656E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    3.002280E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    2.174912E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    2.801564E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    2.076869E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    2.632241E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    2.426373E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    2.475218E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.823329E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    2.293991E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.747344E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.640695E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.714719E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.590646E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.852690E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.510976E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.701342E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.352754E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.542746E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.445586E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.252801E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.044334E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    9.602158E-03    0.000000E+00    0.000000E+00   
 0.000000E+00    9.217099E-03    0.000000E+00    0.000000E+00   
 0.000000E+00    1.051665E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    9.058600E-03    0.000000E+00    0.000000E+00   
 0.000000E+00    9.065127E-03    0.000000E+00    0.000000E+00   
 0.000000E+00    7.845531E-03    0.000000E+00    0.000000E+00   
 0.000000E+00    6.212587E-03    0.000000E+00    0.000000E+00   
 6.096963E-03    0.000000E+00    0.000000E+00    0.000000E+00   
 5.480184E-03    0.000000E+00    0.000000E+00    0.000000E+00   
 4.625230E-03    0.000000E+00    0.000000E+00    0.000000E+00   
 4.158447E-03    0.000000E+00    0.000000E+00    0.000000E+00   
 2.999301E-03    0.000000E+00    0.000000E+00    0.000000E+00   
 2.143014E-03    0.000000E+00    0.000000E+00    0.000000E+00   
 1.882192E-03    0.000000E+00    0.000000E+00    0.000000E+00   
 1.294398E-03    0.000000E+00    0.000000E+00    0.000000E+00   
 9.895889E-04    0.000000E+00    0.000000E+00    0.000000E+00   
 9.935266E-05    0.000000E+00    0.000000E+00    0.000000E+00   
 4.474742E-04    0.000000E+00    0.000000E+00    0.000000E+00   
 8.301358E-05    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 2.005784E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 9.999310E-05    0.000000E+00    0.000000E+00    0.000000E+00   
 1.775618E-04    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 2.455634E-03    0.000000E+00    0.000000E+00    0.000000E+00   
 1.224543E-01    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 1.517153E-02    0.000000E+00    0.000000E+00    0.000000E+00   
